Instrument,Qty.,Avg. cost,LTP,Cur. val,P&L,Net chg.,Day chg.
LTIM,7,5315.91,4365.4,288116.4,-62733.91,-17.88,-1.24
TECHM,30,1246.01,1016,304800,-69002.4,-18.46,0.24
BPCL,65,408.71,330.5,214825,-50839,-19.14,1.01
WIPRO,82,495.25,392.75,322055,-84050.3,-20.7,0.51
AMARAJABAT,40,722.3,571.75,228700,-60220.15,-20.84,3.91
ZYDUSWELL,3,1905.99,1508.4,45252,-11927.75,-20.86,0.88
DIVISLAB,6,4326.85,3413.2,204792,-54819.05,-21.12,0.03
TATAMOTORS,82,496.82,388.1,320182.5,-89690.5,-21.88,0.57
RALLIS,40,317.23,242.35,96940,-29953.85,-23.61,3.92
LICI,5,904,684.6,30122.4,-9653.6,-24.27,0.13
KANSAINER,12,585.75,438.25,52590,-17699.4,-25.18,0.65
LUPIN,19,999.95,733.7,139403,-50587.75,-26.63,-0.33
GUJGAS,5,674.7,486,24300,-9435,-27.97,1.64
PGHL,1,5510,3953,19765,-7785,-28.26,-4.56
SAIL,344,115.93,82.65,284316,-114484.5,-28.71,1.97
ROUTE,4,2257,1215.6,48624,-41655.9,-46.14,0.96
